child_id,child_document_type,child_identifier,referenced_document_type,referenced_identifier,referenced_title,referenced_date,reason,reference_text,context
1726,executive_order,12692,executive_order,12190,,,outside_corpus,Executive Order No. 12190,(a) Advisory Committee on Small and Minority Business Ownership; Executive Order No. 12190 (Small Business Administration).
1726,executive_order,12692,executive_order,12216,,,outside_corpus,Executive Order No. 12216,(f) President's Committee on the International Labor Organization; Executive Order No. 12216 (Department of Labor).
1726,executive_order,12692,executive_order,11287,,,outside_corpus,Executive Order No. 11287,"(h) President's Committee on the National Medal of Science; Executive Order No. 11287, as amended (National Science Foundation)."
1726,executive_order,12692,executive_order,12345,,,outside_corpus,Executive Order No. 12345,"(i) President's Council on Physical Fitness and Sports; Executive Order No. 12345, as amended (Department of Health and Human Services)."
1726,executive_order,12692,executive_order,12462,,,outside_corpus,Executive Order No. 12462,"(a) Executive Order No. 12462, as amended by Executive Order No. 12533, establishign the President's Advisory Committee on Mediation and Conciliation. (b) Executive Order No. 12592, establishing the President's Commission on Compensation of Career Federal Executives."
1726,executive_order,12692,executive_order,12592,,,outside_corpus,Executive Order No. 12592,"(a) Executive Order No. 12462, as amended by Executive Order No. 12533, establishign the President's Advisory Committee on Mediation and Conciliation. (b) Executive Order No. 12592, establishing the President's Commission on Compensation of Career Federal Executives."
1726,executive_order,12692,executive_order,12668,,,outside_corpus,Executive Order No. 12668,"(c) Executive Order No. 12668, establishing the President's Commission on Federal Ethics Law Reform."
1726,executive_order,12692,executive_order,12607,,,outside_corpus,Executive Order No. 12607,"(d) Executive Order No. 12607, establishing the President's Commission on Privatization."
1726,executive_order,12692,executive_order,12603,,,outside_corpus,Executive Order No. 12603,"(g) Executive Order No. 12601, as amended by Executive Order No. 12603, establishing the Presidential Commission on the Human Immunodeficiency Virus Epidemic."
1729,executive_order,12690,proclamation,6023,,,cross_type_reference,Proclamation No. 6023,WHEREAS; I have today issued Proclamation No. 6023 pursuant to the provisions of Chapter 15 of Title 10 of the United States Code;
1731,executive_order,12689,executive_order,12549,,,outside_corpus,Executive Order No. 12549,"(b) ""Nonprocurment activities"" refers to all programs and activities involving Federal financial and nonfinancial assistance and benefits, as covered by Executive Order No. 12549 and the Office of Management and Budget guidelines implementing that order."
1731,executive_order,12689,executive_order,12549,,,outside_corpus,Executive Order No. 12549,"(a) To the extent permitted by law and upon resolution of differences and promulgation of final regulations pursuant to section 3 of this order, the debarment, suspension, or other exclusion of a participant in a procurement activity under the Federal Acquisition Regulation, or in a nonprocurement activity under regulations issued pursuant to Executive Order No. 12549, shall have governmentwide effect. No agency shall allow a party to participate in any procurement or nonprocurement activity if any agency has debarred, suspended, or otherwise excluded (to the extent specified in the exclusion agreement) that party from participation in a procurement or nonprocurement activity."
1731,executive_order,12689,executive_order,12549,,,outside_corpus,Executive Order No. 12549,"(b) An agency may grant an exception permitting a debarred, suspended, or otherwise excluded party to participate in procurement activities of that agency to the extent exceptions are authorized under the Federal Acquisition Regulation, or to participate in nonprocurement activities of that agency to the extent exceptions are authorized under regulations issued pursuant to Executive Order No. 12549."
1731,executive_order,12689,executive_order,12549,,,outside_corpus,Executive Order No. 12549,(a) The Office of Management and Budget may assist Federal agencies in resolving differences between the provisions contained in the Federal Acquisition Regulation and in regulations issued pursuant to Executive Order No. 12549. The Office of Management and Budget may determine the date of resolution of differences and then shall notify affected agencies of that date.
1731,executive_order,12689,executive_order,12549,,,outside_corpus,Executive Order No. 12549,"(b) To implement this order, proposed regulations amending the Federal Acquisition Regulation and the agency regulations issued pursuant to Executive Order No. 12549 shall be published simultaneously within 6 months of the resolution of differences."
1739,executive_order,12680,executive_order,12163,,,outside_corpus,Executive Order No. 12163,"Section 1. Section 1-102(a) of Executive Order No. 12163, as amended, is further amended by amending paragraphs (9) and (10) to read as follows:"
1739,executive_order,12680,executive_order,12163,,,outside_corpus,Executive Order No. 12163,"Sec. 2. Section 1-201(a) of Executive Order No. 12163, as amended, is further amended by amending paragraphs (26), (27), (28), and (29) to read as follows:"
1739,executive_order,12680,executive_order,12163,,,outside_corpus,Executive Order No. 12163,"Sec. 3. Section 1-201(a) of Executive Order No. 12163, as amended, is further amended by inserting the following new paragraphs at the end thereof:"
1739,executive_order,12680,executive_order,12163,,,outside_corpus,Executive Order No. 12163,"Sec. 4. Section 1-301 of Executive Order No. 12163, as amended, is further amended by amending section (f) to read as follows:"
1739,executive_order,12680,executive_order,11958,,,outside_corpus,Executive Order No. 11958,"Sec. 5. Section 1 of the Executive Order No. 11958, as amended, is further amended:"
1739,executive_order,12680,executive_order,11958,,,outside_corpus,Executive Order No. 11958,"Sec. 6. Section 1(e) of Executive Order No. 11958, as amended, is further amended by inserting ""and section 580 of the Foreign Operations, Export Financing, and Related Programs Appropriations Act, 1989 (Public Law 100-461)."" after ""Section 23 of the Act""."
1739,executive_order,12680,executive_order,11958,,,outside_corpus,Executive Order No. 11958,"Sec. 7. Section 1(l) of Executive Order No. 11958, as amended, is further amended by striking out the semicolon at the end of the second sentence of paragraph (l) and inserting a period in lieu thereof, and by adding the following sentence at the end of paragraph (l):"
1739,executive_order,12680,executive_order,11958,,,outside_corpus,Executive Order No. 11958,"Sec. 8. Section 2(a) of Executive Order No. 11958, as amended, is further amended by deleting ""and"" after ""International Development Cooperation Agency"" and inserting ""and the Chairman of the Export-Import Bank,"" after ""Arms Control and Disarmament Agency,""."
1740,executive_order,12679,executive_order,12154,,,outside_corpus,Executive Order No. 12154,"By the authority vested in me as President by the Constitution and laws of the United States of America, including section 5317 of title 5 of the United States Code, and in order to place an additional position in level IV of the Executive Schedule, section I-101 of Executive Order No. 12154, as amended, is hereby further amended by adding at the end the following new subsection:"
1741,executive_order,12678,executive_order,12154,,,outside_corpus,Executive Order No. 12154,"By the authority vested in me as President by the Constitution and laws of the United States of America, including section 5317 of title 5 of the United States Code, and in order to place an additional position in and to remove obsolete positions from level IV of the Executive Schedule, section 1-101 of Executive Order No. 12154, as amended, is hereby further amended by removing the positions identified as sections 1-101 ""(d)"" through ""(h)"" from the order and relettering the remaining sections 1-101 ""(i)"" and ""(j)"", sections 1-101 ""(d)"" and ""(e)"", respectively, and adding at the end the following new subsection:"
1758,executive_order,12661,executive_order,12291,,,outside_corpus,Executive Order No. 12291,"Sec. 5-102. Regulatory Review. Notwithstanding the provisions of section l(a)(2) of Executive Order No. 12291 of February 17, 1981, the Director of the Office of Management and Budget shall, with regard to regulations, rules, or agency statements of general applicability and future effect designed to implement, interpret, or prescribe law or policy or describing the procedure or practice requirements of an agency relative to the administration of the Export Administration Act, determine whether such regulations, rules, or agency statements are exempted from review under that Order, pursuant to the provisions of section 8(b) thereof."
1759,executive_order,12660,executive_order,12591,,,outside_corpus,Executive Order No. 12591,(iii) promoting transfer of federally funded microgravity research in furtherance of Executive Order No. 12591; and
1774,executive_order,12645,executive_order,12364,,,outside_corpus,Executive Order No. 12364,"By virtue of the authority vested in me as President by the Constitution and laws of the United States of America, including sections 3301 and 3302 of title 5, United States Code, and in order to improve the Presidential Management Intern Program by providing for the recruitment and selection of an increasing number of outstanding employees for careers in public sector management, it is hereby ordered that Section 3(c)(1) of Executive Order No. 12364 of May 24, 1982, is amended by deleting ""two hundred"" and inserting in lieu thereof ""four hundred""."
1792,executive_order,12627,executive_order,12607,,,outside_corpus,Executive Order No. 12607,"By virtue of the authority vested in me as President by the Constitution and laws of the United States of America, and in accordance with the Federal Advisory Committee Act, as amended (5 U.S.C. App. I), it is hereby ordered that section 2(d) of Executive Order No. 12607 of September 2, 1987, entitled ""President's Commission on Privatization"" is amended by deleting ""March 1, 1988"" and inserting in lieu thereof ""March 31, 1988."""
1799,executive_order,12620,executive_order,12163,,,outside_corpus,Executive Order No. 12163,"By the authority vested in me as President by the Constitution and laws of the United States, including the Foreign Assistance Act of 1961, as amended, and section 301 of Title 3 of the United States Code, it is hereby ordered that Executive Order No. 12163, as amended, is further amended by inserting at the end of the first sentence of subsection 6 of Section 1-201, the following phrase:"
1801,executive_order,12618,executive_order,12591,,,outside_corpus,Executive Order No. 12591,"By the authority vested in me as President by the Constitution and laws of the United States of America, and having concluded that the ability of the United States to achieve the statutorily prescribed policy (35 U.S.C. 200) of using the patent system to promote the utilization of inventions arising from federally supported research or development requires that Federal agencies follow uniform policies in administering patents and licenses conceived or first reduced to practice during the course of federally funded research, Executive Order No. 12591 of April 10, 1987, is amended by redesignating Sections l(b) (5) and (6) as l(b) (6) and (7), respectively, and by adding a new Section l(b)(5) as follows:"
1807,executive_order,12612,executive_order,12372,,,outside_corpus,Executive Order No. 12372,"(a) There should be strict adherence to constitutional principles. Executive departments and agencies should closely examine the constitutional and statutory authority supporting any Federal action that would limit the Policy-making discretion of the States, and should carefully assess the necessity for such action. To the extent practicable, the States should be consulted before any such action is implemented. Executive Order No. 12372 (""Intergovernmental Review of Federal Programs"") remains in effect for the programs and activities to which it is applicable."
1807,executive_order,12612,executive_order,12291,,,outside_corpus,Executive Order No. 12291,"(c) Each Federalism Assessment shall accompany any submission concerning the policy that is made to the Office of Management and Budget pursuant to Executive Order No. 12291 or OMB Circular No. A19, and shall:"
1807,executive_order,12612,executive_order,12291,,,outside_corpus,Executive Order Nos. 12291,"(a) In implementing Executive Order Nos. 12291 and 12498 and OMB Circular No. A-19, the Office of Management and Budget, to the extent permitted by law and consistent with the provisions of those authorities, shall take action to ensure that the policies of the Executive departments and agencies are consistent with the principles, criteria, and requirements stated in sections 2 through 5 of this Order."
1807,executive_order,12612,executive_order,12291,,,outside_corpus,Executive Order No. 12291,"(b) In submissions to the Office of Management and Budget pursuant to Executive Order No. 12291 and OMB Circular No. A19, Executive departments and agencies shall identify proposed regulatory and statutory provisions that have significant federalism implications and shall address any substantial federalism concerns. Where the departments or agencies deem it appropriate, substantial federalism concerns should also be addressed in notices of proposed rulemaking and messages transmitting legislative proposals to the Congress."
1809,executive_order,12610,executive_order,12190,,,outside_corpus,Executive Order No. 12190,(a) Advisory Committee on Small and Minority Business Ownership; Executive Order No. 12190 (Small Business Administration).
1809,executive_order,12610,executive_order,12216,,,outside_corpus,Executive Order No. 12216,(e) President's Committee on the International Labor Organization; Executive Order No. 12216 (Department of Labor).
1809,executive_order,12610,executive_order,11287,,,outside_corpus,Executive Order No. 11287,"(g) President's Committee on the National Medal of Science; Executive Order No. 11287, as amended (National Science Foundation)."
1809,executive_order,12610,executive_order,12345,,,outside_corpus,Executive Order No. 12345,"(h) President's Council on Physical Fitness and Sports; Executive Order No. 12345, as amended (Department of Health and Human Services)."
1809,executive_order,12610,executive_order,12526,,,outside_corpus,Executive Order No. 12526,"(c) Executive Order No. 12526, establishing the President's Blue Ribbon Commission on Defense Management."
1809,executive_order,12610,executive_order,12503,,,outside_corpus,Executive Order No. 12503,"(e) Executive Order No. 12503, as amended by Executive Order No. 12529, establishing the President's Commission on Americans Outdoors."
1809,executive_order,12610,executive_order,12435,,,outside_corpus,Executive Order No. 12435,"(f) Executive Order No. 12435, establishing the President's Commission on Organized Crime."
1810,executive_order,12609,executive_order,12592,,,outside_corpus,Executive Order No. 12592,"By the authority vested in me as President by the Constitution and the laws of the United States of America, and in order to extend the period within which the President's Commission on Compensation of Career Federal Executives may complete its work, it is hereby ordered that Section 2(b) of Executive Order No. 12592 of April 10, 1987, is amended by striking out ""August 1, 1987"" and inserting in lieu thereof ""February 28, 1988""."
1811,executive_order,12608,executive_order,8744,,,outside_corpus,Executive Orders Nos. 8744,"Notwithstanding the revocation of Executive Orders Nos. 8744, 10880, and 12034, benefits already conferred under these Executive Orders before revocation shall not be affected."
1811,executive_order,12608,executive_order,10608,,,outside_corpus,Executive Order No. 10608,"Sec. 6. Executive Order No. 10608 is amended by deleting the words ""Foreign Service Act of 1946 (60 Stat. 999)"" and inserting in lieu thereof ""Foreign Service Act of 1980 (94 Stat. 2071)""."
1811,executive_order,12608,executive_order,10624,,,outside_corpus,Executive Order No. 10624,"Sec. 7. Executive Order No. 10624, as amended, is further amended as follows:"
1811,executive_order,12608,executive_order,10575,,,outside_corpus,Executive Order No. 10575,"(b) In Section l(a), by deleting the words ""The provisions of Part II—Procedures for Coordination Abroad—of Executive Order No. 10575 of November 6, 1954,"" and inserting in lieu thereof ""The provisions of section 207 of the Foreign Service Act of 1980 (22 U.S.C. 3927)""."
1811,executive_order,12608,executive_order,11077,,,outside_corpus,Executive Order No. 11077,"Sec. 14. Executive Order No. 11077, as amended, is further amended as follows:"
1811,executive_order,12608,executive_order,11580,,,outside_corpus,Executive Order No. 11580,"Sec. 20. Executive Order No. 11580 is amended by deleting the words ""Administrator of the National Credit Union Administration"" and inserting in lieu thereof ""National Credit Union Administration Board"" in the first paragraph."
1811,executive_order,12608,executive_order,11880,,,outside_corpus,Executive Order No. 11880,"Sec. 26. Executive Order No. 11880 is amended by deleting the words ""Under Secretary of Commerce"" and inserting in lieu thereof ""Deputy Secretary of Commerce""."
1811,executive_order,12608,executive_order,11899,,,outside_corpus,Executive Order No. 11899,"Sec. 27. Executive Order No. 11899, as amended, is further amended by deleting the words ""(88 Stat. 2210, 25 U.S.C. 450 (i)),"" and inserting in lieu thereof ""(88 Stat. 2210, 25 U.S.C. 450 i),""."
1811,executive_order,12608,executive_order,12163,,,outside_corpus,Executive Order No. 12163,"Sec. 30. Section 1-201(a) of Executive Order No. 12163, as amended, is further amended by revoking paragraphs (23) and (24), and by renumbering paragraphs (25), (26), (27), and (28) as paragraphs (23), (24), (25), and (26) respectively."
1811,executive_order,12608,executive_order,12322,,,outside_corpus,Executive Order No. 12322,"Sec. 31. Executive Order No. 12322 is amended by deleting the words ""Principles and Standards for Water and Related Land Resources Planning (Part 711 of Title 18 of the Code of Federal Regulations (45 F.R. 64366)),"" and inserting in lieu thereof ""Economic and Environmental Principles and Guidelines for Water and Related Land Resources Implementation Studies""."
1840,executive_order,12579,executive_order,12462,,,outside_corpus,Executive Order No. 12462,"By the authority vested in me as President by the Constitution and laws of the United States of America, including the Federal Advisory Committee Act, as amended (5 U.S.C. App. I), and in order to extend the life of the President's Advisory Committee on Mediation and Conciliation, it is hereby ordered that Section 4(b) of Executive Order No. 12462 of February 17, 1984, as amended, is further amended to read: ""The Committee shall terminate on December 31, 1987, unless sooner extended."""
1855,executive_order,12564,executive_order,12356,,,outside_corpus,Executive Order No. 12356,(2) An employee who has been granted access to classified information or may be granted access to classified information pursuant to a determination of trustworthiness by an agency head under Section 4 of Executive Order No. 12356;
1859,executive_order,12560,executive_order,12163,,,outside_corpus,Executive Order No. 12163,"Section 1. Section 1-102(a) of Executive Order No. 12163, as amended, is further amended by deleting paragraph ""(6)"" and adding the following new paragraphs at the end thereof:"
1859,executive_order,12560,executive_order,12163,,,outside_corpus,Executive Order No. 12163,"Sec. 2. Section 1-201(a) of Executive Order No. 12163, as amended, is further amended by deleting paragraphs ""(7)"", ""(22)"", ""(23)"", ""(25)"", ""(26)"", and ""(27)"", renumbering the remaining paragraphs accordingly, and inserting the following new paragraphs at the end thereof:"
1859,executive_order,12560,executive_order,12163,,,outside_corpus,Executive Order No. 12163,"Sec. 3. Section 1-201(a) of Executive Order No. 12163, as amended, is further amended by deleting ""481, and 502B,"" from paragraph (1) and inserting ""section 305"" in lieu thereof, and inserting the following new paragraphs at the end thereof:"
1859,executive_order,12560,executive_order,12163,,,outside_corpus,Executive Order No. 12163,"Sec. 4. Section 1-201(a)(3)of Executive Order No. 12163, as amended, is further amended to read as follows:"
1859,executive_order,12560,executive_order,12163,,,outside_corpus,Executive Order No. 12163,"Sec. 5. Section 1-201(a)(22) of Executive Order No. 12163, as redesignated by this Order, is further amended by inserting immediately after ""(Public Law 98-525)"" the phrase ""as amended by section 306 of the Department of Defense Authorization Act, 1986 (Public Law 99-145),""."
1859,executive_order,12560,executive_order,12163,,,outside_corpus,Executive Order No. 12163,"Sec. 6. Section 1-201(a)(15)of Executive Order No. 12163, as amended, as redesignated by this Order, is further amended by deleting ""(other than chapter 4 thereof)""."
1859,executive_order,12560,executive_order,12163,,,outside_corpus,Executive Order No. 12163,"Sec. 7. Section 1-301 of Executive Order No. 12163, as amended, is further amended by adding the following paragraph at the end thereof:"
1859,executive_order,12560,executive_order,12163,,,outside_corpus,Executive Order No. 12163,"Sec. 8. Section 1-301(e) of Executive Order No. 12163, as amended, is further amended to read as follows:"
1859,executive_order,12560,executive_order,12163,,,outside_corpus,Executive Order No. 12163,"Sec. 9. Section 1-701(d) of Executive Order No. 12163, as amended, is further amended by inserting ""465(b)"" immediately after ""303,"" and by inserting ""552(c), 552(e),"" immediately after ""506(a),""."
1859,executive_order,12560,executive_order,12163,,,outside_corpus,Executive Order No. 12163,"Sec. 10. Section 1-701(g) of Executive Order No. 12163, as amended, is amended to read as follows:"
1859,executive_order,12560,executive_order,11958,,,outside_corpus,Executive Order No. 11958,"Sec. 11. Section l(d) of Executive Order No. 11958, as amended, is further amended to read as follows:"
1859,executive_order,12560,executive_order,11958,,,outside_corpus,Executive Order No. 11958,"Sec. 12. Section l(e) of Executive Order No. 11958, as amended, is further amended to read as follows:"
1859,executive_order,12560,executive_order,11958,,,outside_corpus,Executive Order No. 11958,"Sec. 13. Section l(f) of Executive Order No. 11958, as amended, is further amended to read as follows:"
1872,executive_order,12547,executive_order,12356,,,outside_corpus,Executive Order No. 12356,"(b) In the interests of national security, and in order to allow for consideration of appropriate action under Executive Order No. 12356, decisions of the DOT transmitted to the President under Section 801 shall be withheld from public disclosure for a period not to exceed five days after submission to the President."
1872,executive_order,12547,executive_order,12356,,,outside_corpus,Executive Order No. 12356,"(d) The Secretary of State and the Secretary of Defense, or their designees, shall review the decisions of the DOT transmitted pursuant to subsection (c) above, and shall promptly advise the Assistant to the President for National Security Affairs or his designee, whether action pursuant to Executive Order No. 12356 is deemed appropriate. If, after considering these recommendations, the Assistant to the President for National Security Affairs determines that classification under Executive Order No. 12356 is appropriate, he shall take such action and immediately so inform the DOT. Action pursuant to this subsection shall be completed by the persons designated herein within five days of receipt of the decision by the President."
1872,executive_order,12547,executive_order,12356,,,outside_corpus,Executive Order No. 12356,"(d) The Secretary of State and the Secretary of Defense, or their designees, shall review the decisions of the DOT transmitted pursuant to subsection (c) above, and shall promptly advise the Assistant to the President for National Security Affairs or his designee, whether action pursuant to Executive Order No. 12356 is deemed appropriate. If, after considering these recommendations, the Assistant to the President for National Security Affairs determines that classification under Executive Order No. 12356 is appropriate, he shall take such action and immediately so inform the DOT. Action pursuant to this subsection shall be completed by the persons designated herein within five days of receipt of the decision by the President."
1877,executive_order,12542,executive_order,12526,,,outside_corpus,Executive Order No. 12526,"By the authority vested in me as President by the Constitution and laws of the United States of America, including the Federal Advisory Committee Act, as amended, it is hereby ordered that Section 2(c) of Executive Order No. 12526 is amended by deleting ""December 31, 1985"" as the date for submission of the Commission's conclusions and recommendations on the procurement section of its study and inserting in lieu thereof ""February 28, 1986.""."
1880,executive_order,12539,executive_order,12345,,,outside_corpus,Executive Order No. 12345,"By the authority vested in me as President by the Constitution and laws of the United States of America, including the Federal Advisory Committee Act, as amended (5 U.S.C. App. I), and in order to increase the membership of the President's Council on Physical Fitness and Sports, it is hereby ordered that Section 2(b) of Executive Order No. 12345, as amended, is further amended by increasing the number of members of the Council from fifteen to eighteen."
1881,executive_order,12538,proclamation,4907,,,outside_corpus,Proclamation No. 4907,"By the authority vested in me as President by the Constitution and laws of the United States, including Section 504 of the International Security and Development Cooperation Act of 1985 (Public Law 9983), and considering that the Libyan government actively pursues terrorism as an instrument of state policy and that Libya has developed significant capability to export petroleum products and thereby circumvent the prohibition imposed by Proclamation No. 4907 of March 10, 1982 and retained in Proclamation No. 5141 of December 22, 1983 on the importation of Libyan crude oil, it is ordered as follows:"
1881,executive_order,12538,proclamation,5141,,,cross_type_reference,Proclamation No. 5141,"By the authority vested in me as President by the Constitution and laws of the United States, including Section 504 of the International Security and Development Cooperation Act of 1985 (Public Law 9983), and considering that the Libyan government actively pursues terrorism as an instrument of state policy and that Libya has developed significant capability to export petroleum products and thereby circumvent the prohibition imposed by Proclamation No. 4907 of March 10, 1982 and retained in Proclamation No. 5141 of December 22, 1983 on the importation of Libyan crude oil, it is ordered as follows:"
1882,executive_order,12537,executive_order,12331,,,outside_corpus,Executive Order No. 12331,"Sec. 7. Executive Order No. 12331 of October 20, 1981 is revoked."
1885,executive_order,12533,executive_order,12462,,,outside_corpus,Executive Order No. 12462,"By the authority vested in me as President by the Constitution and laws of the United States of America, including the Federal Advisory Committee Act, as amended (5 U.S.C. App. I), and in order to extend the life of the President's Advisory Committee on Mediation and Conciliation and clarify the status of its members, it is hereby ordered that Executive Order No. 12462, as amended, is further amended as follows:"
1886,executive_order,12534,executive_order,12190,,,outside_corpus,Executive Order No. 12190,(a) Advisory Committee on Small and Minority Business Ownership; Executive Order No. 12190 (Small Business Administration).
1886,executive_order,12534,executive_order,12216,,,outside_corpus,Executive Order No. 12216,(f) President's Committee on the International Labor Organization; Executive Order No. 12216 (Department of Labor).
1886,executive_order,12534,executive_order,11287,,,outside_corpus,Executive Order No. 11287,"(h) President's Committee on the National Medal of Science; Executive Order No. 11287, as amended (National Science Foundation)."
1886,executive_order,12534,executive_order,12345,,,outside_corpus,Executive Order No. 12345,"(i) President's Council on Physical Fitness and Sports; Executive Order No. 12345, as amended (Department of Health and Human Services)."
1886,executive_order,12534,executive_order,12395,,,outside_corpus,Executive Order No. 12395,"(c) Executive Order No. 12395, establishing the International Private Enterprise Task Force."
1886,executive_order,12534,executive_order,12433,,,outside_corpus,Executive Order No. 12433,"(d) Executive Order No. 12433, establishing the National Bipartisan Commission on Central America."
1886,executive_order,12534,executive_order,12332,,,outside_corpus,Executive Order No. 12332,"(f) Executive Order No. 12332, establishing the National Productivity Advisory Committee."
1886,executive_order,12534,executive_order,12412,,,outside_corpus,Executive Order No. 12412,"(g) Executive Order No. 12412, establishing the Peace Corps Advisory Council."
1886,executive_order,12534,executive_order,12400,,,outside_corpus,Executive Order No. 12400,"(k) Executive Order No. 12400, establishing the President's Commission on Strategic Forces."
1886,executive_order,12534,executive_order,12421,,,outside_corpus,Executive Order No. 12421,"(m) Executive Order No. 12421, establishing the Presidential Commission on the Conduct of United States-Japan Relations."
1886,executive_order,12534,executive_order,12468,,,outside_corpus,Executive Order No. 12468,"(o) Executive Order No. 12468, establishing the Presidential Advisory Council on the Peace Corps."
1886,executive_order,12534,executive_order,12399,,,outside_corpus,Executive Order No. 12399,Sec. 4. Executive Order No. 12399 and Executive Order No. 12489 are superseded.
1889,executive_order,12530,executive_order,12356,,,outside_corpus,Executive Order No. 12356,"Sec. 5. Classification Authority. In accordance with section 1.2(a)(2) of Executive Order No. 12356 of April 2, 1982, the Director is hereby designated as an agency official with authority to classify information originally as Top Secret. The Director shall ensure that the Office establishes and maintains controls for the safeguarding of classified information as provided in part 4 of that Order."
1889,executive_order,12530,executive_order,12163,,,outside_corpus,Executive Order No. 12163,"Sec. 6. Delegation of Functions. Subject to the provisions of this Order and Executive Order No. 12163 of September 29, 1979, as amended, and to the extent necessary to the efficient and effective implementation of this Order, there are hereby delegated to the Director the functions conferred upon the President (and not reserved to him) by sections 632(a) and 635(b) of the FAA and other provisions of that Act (including but not limited to those set forth in Part III of the FAA) that relate directly and necessarily to the conduct of the programs and activities vested in or delegated to the Director."
1890,executive_order,12529,executive_order,12503,,,outside_corpus,Executive Order No. 12503,"By the authority vested in me as President by the Constitution and statutes of the United States of America, including the Federal Advisory Committee Act, as amended (5 U.S.C. App. I), and in order to revise the name of a presidential advisory commission to better describe its areas of responsibility, and to extend the date within which the commission must complete its responsibilities, it is hereby ordered that Executive Order No. 12503 is amended as follows:"
1892,executive_order,12527,executive_order,11252,,,outside_corpus,Executive Order No. 11252,"By the authority vested in me as President by the Constitution and laws of the United States of America, including section 301 of title 3 of the United States Code, it is hereby ordered that Executive Order No. 11252, as amended, is further amended by repealing Sections 2 and 3, and by redesignating the current Section 4 as Section 2."
1900,executive_order,12519,executive_order,11888,,,outside_corpus,Executive Order No. 11888,"Sec. 2. Annex II of Executive Order No. 11888, as amended, listing articles that are eligible for benefits of the GSP when imported from any designated beneficiary developing country, is amended as set forth in Annex II to this Order."
1900,executive_order,12519,executive_order,11888,,,outside_corpus,Executive Order No. 11888,"Sec. 3. Annex III of Executive Order No. 11888, as amended, listing articles that are eligible for benefits of the GSP when imported from all designated beneficiary countries except those specified in General Headnote 3(c)(iii) of the TSUS, is amended as set forth in Annex III to this Order."
1900,executive_order,12519,proclamation,4707,,,cross_type_reference,Proclamation 4707,"Sec. 5. In order to provide staged reductions in the rates of duty for those new TSUS items created by Annex I to this Order, Annex III to Proclamation 4707 and Annex III to Proclamation 4768 are amended as set forth in Annex V to this Order."
1900,executive_order,12519,proclamation,4768,,,cross_type_reference,Proclamation 4768,"Sec. 5. In order to provide staged reductions in the rates of duty for those new TSUS items created by Annex I to this Order, Annex III to Proclamation 4707 and Annex III to Proclamation 4768 are amended as set forth in Annex V to this Order."
1900,executive_order,12519,proclamation,4707,,,cross_type_reference,Proclamation 4707,"Sec. 7. Annexes III and IV of Proclamation 4707 and Annexes II, III, and IV of Proclamation 4768 are superseded to the extent inconsistent with this Order."
1900,executive_order,12519,proclamation,4768,,,cross_type_reference,Proclamation 4768,"Sec. 7. Annexes III and IV of Proclamation 4707 and Annexes II, III, and IV of Proclamation 4768 are superseded to the extent inconsistent with this Order."
1904,executive_order,12514,executive_order,10820,,,outside_corpus,Executive Order No. 10820,"Executive Order No. 10820 of May 18, 1959, is hereby revoked."
1905,executive_order,12515,executive_order,11888,,,outside_corpus,Executive Order No. 11888,"Section 1. In order to take into account the changes made by the Trade and Tariff Act of 1984, Annex II of Executive Order No. 11888 of November 24, 1975, as amended, listing articles that are eligible for benefits of the GSP when imported from any designated beneficiary developing country, is further amended as set forth in Annex 1 to this Order."
1905,executive_order,12515,executive_order,11888,,,outside_corpus,Executive Order No. 11888,"Sec. 2. Annex III of Executive Order No. 11888, as amended, listing articles that are eligible for benefits of the GSP when imported from all designated beneficiary countries except those specified in general headnote 3(c)(iii) of the TSUS, is further amended as set forth in Annex II to this Order."
1907,executive_order,12512,executive_order,12348,,,outside_corpus,Executive Order No. 12348,"Sec. 4. Executive Order No. 12348 of February 25, 1982, is hereby revoked."
1911,executive_order,12507,executive_order,12435,,,outside_corpus,Executive Order No. 12435,"By the authority vested in me as President by the Constitution and laws of the United States of America, including the Federal Advisory Committee Act, as amended (5 U.S.C. App. I), it is hereby ordered that Section 4(b) of Executive Order No. 12435, establishing the President's Commission on Organized Crime, is amended to provide as follows:"
1921,executive_order,12498,executive_order,12291,,,outside_corpus,Executive Order No. 12291,"Section 1. General Requirements. (a) There is hereby established a regulatory planning process by which the Administration will develop and publish a Regulatory Program for each year. To implement this process, each Executive agency subject to Executive Order No. 12291 shall submit to the Director of the Office of Management and Budget (OMB) each year, starting in 1985, a statement of its regulatory policies, goals, and objectives for the coming year and information concerning all significant regulatory actions underway or planned; however, the Director may exempt from this Order such agencies or activities as the Director may deem appropriate in order to achieve the effective implementation of this Order."
1921,executive_order,12498,executive_order,12291,,,outside_corpus,Executive Order No. 12291,"(c) This program is intended to complement the existing regulatory planning and review procedures of agencies and the Executive branch, including the procedures established by Executive Order No. 12291."
1921,executive_order,12498,executive_order,12291,,,outside_corpus,Executive Order No. 12291,"(d) To assure consistency with the goals of the Administration, the head of each agency subject to this Order shall adhere to the regulatory principles stated in Section 2 of Executive Order No. 12291, including those elaborated by the regulatory policy guidelines set forth in the August 11, 1983, Report of the Presidential Task Force on Regulatory Relief, ""Reagan Administration Regulatory Achievements."""
